id,Table_Grouper,Meaning,created_at,updated_at
,1A,"(See ASW Action Table, Section 1000)",,
,2A,"(See Surface Action Table, Section 3100)",,
,3A,Air Force Officer,,
,4A,Air Wing/General commander,,
,5A,"(See AAW Action Table, Section 2500)",,
,6A,Army Officer,,
,7A,"(See Torpedo Action Table, Section 3105)",,
,8A,ASW Officer,,
,9A,Aviation Officer,,
,10A,Boarding Officer,,
,11A,Chief of Navy,,
,12A,Chief of Staff,,
,13A,Combat Information Center Officer,,
,14A,Combat Cargo Officer,,
,15A,Command Duty Officer,,
,16A,Commanding Officer,,
,17A,Communication Officer,,
,18A,Correspondence Officer,,
,19A,Countermeasures Officer,,
,20A,Customs Officer,,
,21A,Damage Control Officer,,
,22A,Dental Officer,,
,23A,Deputy Chief of Navy,,
,24A,Disbursing (Pay) Officer,,
,25A,Diving Officer,,
,26A,Electronics Officer,,
,27A,Engineer Officer,,
,28A,Entertainment Officer,,
,29A,Executive Officer,,
,30A,First Lieutenant,,
,31A,Tuan Guru/Religious Teacher,,
,32A,Flag Officer,,
,33A,Flag Lieutenant,,
,34A,Fleet Material Commander,,
,35A,Fleet Operational Commander,,
,36A,Helicopter Controlling Officer,,
,37A,Guard Officer,,
,38A,Gunnery Officer,,
,39A,Landing Officer,,
,40A,Logistics Officer,,
,41A,Medical Officer,,
,42A,Navigation Officer,,
,43A,OCE,,
,44A,OCS,,
,45A,OOW,,
,46A,OTC,,
,47A,SOA,,
,48A,SOPA,,
,49A,Panglima Wilayah Laut 1,,
,50A,Panglima Wilayah Laut 2,,
,51A,Personnel Officer,,
,52A,Police Officer,,
,53A,Radiological Officer,,
,54A,Recreation athletics Officer,,
,55A,Supply Officer,,
,56A,Shore Patrol Officer,,
,57A,Sports Officer,,
,58A,Officer Commanding Marine,,
,59A,Operations Officer,,
,60A,Torpedo Officer,,
,61A,Fishery,,
,62A,Watch Officer,,
,63A,Weapon Officer,,
,64A,Welfare Officer,,
,65A,ASW personnel,,
,66A,Boarding Party,,
,67A,Cable Party,,
,68A,Communications personnel,,
,73A,Crane Driver,,
,74A,Damage control personnel,,
,75A,Driver,,
,76A,Repair and Maintenance party,,
,77A,Electronics personnel,,
,78A,Engine room personnel,,
,79A,First aid party,,
,80A,Gunnery personnel,,
,81A,Junior ratings/ranks,,
,82A,Landing Party,,
,83A,Libertymen,,
,84A,Life boat crew,,
,85A,Marine personnel,,
,86A,PASKAL,,
,87A,Radar Plot personnel,,
,88A,Seaboat crew,,
,89A,Dutymen,,
,90A,Seamen,,
,91A,Senior ratings,,
,92A,Sentries,,
,93A,Shore patrol,,
,94A,Supply and secretariat,,
,95A,Spare,,
,96A,Spare,,
,97A,Spare,,
,1B,(See ASW Action Table Section 1000),,
,2B,(See Surface Action Table Section 3100),,
,3B,After,,
,4B,After air operations now in progress,,
,5B,After completion of current operations,,
,6B,After completion of today air operations,,
,7B,(See AAW Action Table Section 2500),,
,8B,After event number,,
,9B,(See Torpedo Action Table Section 3105),,
,10B,After next air operations,,
,11B,After serial number,,
,12B,As previously directed,,
,13B,Afternoon,,
,14B,As soon as convenient,,
,15B,At earliest possible moment,,
,16B,At earliest suitable moment,,
,17B,At first light tomorrow,,
,18B,At same time as,,
,19B,At the commencement,,
,20B,At the time of,,
,21B,Before,,
,22B,Conditions are favorable,,
,23B,Dawn,,
,24B,During decontamination,,
,25B,During the delay,,
,26B,During the night,,
,27B,Dusk,,
,28B,Enemy destroyers attack,,
,29B,Enemy follows our retirement,,
,30B,Enemy is detected,,
,31B,Enemy is sighted,,
,32B,Enemy is disorganized,,
,33B,Enemy reaches our minefield,,
,34B,Enemy retires,,
,35B,Enemy still in sight,,
,36B,Enemy turn away,,
,37B,Evening,,
,38B,First light,,
,39B,Forenoon,,
,40B,Hourly (or every…..hour),,
,41B,Morning,,
,42B,Necessary,,
,43B,Noon,,
,44B,On arrival (at………..),,
,45B,On completion (serial/exercise/ event number may be indicated following DESIG),,
,46B,On completion of replenishment,,
,47B,On entering harbour,,
,48B,On entering the contact area,,
,49B,On entering torpedo danger zone,,
,50B,On gaining sonar contact area,,
,51B,On joining,,
,52B,On leaving harbour,,
,53B,On passing reference point indicated by DESIG,,
,54B,On passing the furthest on circle,,
,55B,Own air attack,,
,56B,Own aircraft have gained control of the air,,
,57B,Own destroyed attack,,
,58B,Own units designated have completed attack,,
,59B,Own units designated have launched attack,,
,60B,Position (all forces are in favorable),,
,61B,Position (attack groups are in),,
,62B,Position (you or unit designated are in favorable),,
,63B,Prior to the next air operation,,
,64B,Reinforcements arrive,,
,65B,Smoke screens are dissipated,,
,66B,Smoke screens are laid (refers to own smoke screens),,
,67B,Sunrise,,
,68B,Sunrise to sunset,,
,69B,Sunset,,
,70B,Sunset to sunrise,,
,71B,Until,,
,72B,Until further orders,,
,73B,Upon anchoring (mooring),,
,74B,Upon clearing the channel,,
,75B,Upon completion,,
,76B,Upon getting underway,,
,77B,When directed,,
,78B,When ready,,
,1C,(See ASW Action Table Section 1000),,
,2C,(See Surface Action Table Section 3100),,
,3C,AA coordination plan,,
,4C,AAW plan,,
,5C,Administrative plan,,
,6C,Air attack plan,,
,7C,(See AAW Action Table Section 2500),,
,8C,Air cruising plan,,
,9C,(See Torpedo Action Table Section 3105),,
,10C,Air operations plan,,
,11C,Air patrol plan,,
,12C,Alternate plan,,
,13C,Anti – aircraft fire plan,,
,14C,Anti- small boat plan,,
,15C,Anti-suicide boat search plan,,
,16C,Approach plan,,
,17C,Area screening plan,,
,18C,Arming plan,,
,19C,Assault plan,,
,20C,Attack plan,,
,21C,Base defense plan,,
,22C,Base occupation plan,,
,23C,Blockade plan,,
,24C,Boat pool plan,,
,25C,Bombing plan,,
,26C,Communication plan,,
,27C,Contact scouting plan,,
,28C,Counter attack plan,,
,29C,Countermeasures plan,,
,30C,Cover plan,,
,31C,Deception plan,,
,32C,Defense plan,,
,33C,Demonstration,,
,34C,Departure plan,,
,35C,Direction finder plan,,
,36C,Dispersal plan,,
,37C,Embarkation plan,,
,38C,Entrance order,,
,39C,Entrance plan,,
,40C,Exercise plan,,
,41C,Tactical plan,,
,42C,Torpedo sector attack plan,,
,43C,Fueling plan,,
,44C,Heavy weather plan,,
,45C,Illumination plan,,
,46C,Intelligence plan,,
,47C,Interference plan,,
,48C,Landing force plan,,
,49C,Loading plan,,
,50C,Logistics plan,,
,51C,Medical plan,,
,52C,Mining order,,
,53C,Mining plan,,
,54C,Minelaying plan,,
,55C,Minesweeping plan,,
,56C,Movement plan,,
,57C,Naval gunfire support plan,,
,58C,Observation plan,,
,59C,Operation order,,
,60C,Operation order,,
,61C,Patrol order,,
,62C,Patrol plan,,
,63C,Planning memorandum,,
,64C,Protective plan,,
,65C,Pursuit plan,,
,66C,Radio search plan,,
,67C,Relief aircraft spotting plan,,
,68C,Replenishment plan,,
,69C,Retirement plan,,
,70C,Scouting order,,
,71C,Scouting plan,,
,72C,Search plan,,
,73C,Ship-to-shore plan,,
,74C,Shore bombardment,,
,75C,Smoke plan,,
,76C,Smoke screen plan,,
,77C,Smoking plan,,
,78C,Sneak attack plan,,
,79C,Sortie plan,,
,80C,Sporting plan,,
,81C,Strategic plan,,
,82C,Surface action plan,,
,83C,strategic plan,,
,84C,Surface action plan,,
,85C,Torpedo plan,,
,86C,Withdrawal plan,,
,1E,(See ASW Action Table Section 1000),,
,2E,(See Surface Action Table Section 3100),,
,3E,Acoustic,,
,4E,Airborne communication,,
,5E,Airborne radar,,
,6E,Airwaming radar,,
,7E,(See AAW Action Table Section 2500),,
,8E,Carrier approach radar,,
,9E,(See Torpedo Action Table Section 3105),,
,10E,Communications,,
,11E,Data system,,
,12E,Deception system,,
,13E,RF equipment,,
,14E,ECM/ECCM,,
,15E,ESM,,
,16E,Facsimile,,
,17E,Fire control radar,,
,18E,Height finder radar,,
,19E,HF communications,,
,20E,IFF,,
,21E,IR,,
,22E,Laser Ranging,,
,23E,LF communication,,
,24E,LF homer,,
,25E,Meteorological,,
,26E,MF communication,,
,27E,Mine hunting sonar,,
,28E,Missile control radar,,
,29E,Navigation radar,,
,30E,Omega navigation,,
,31E,optro nics,,
,32E,Radar,,
,33E,Radio altimeter,,
,34E,Satellite communications,,
,35E,Satellite navigation,,
,36E,Sonar,,
,37E,Surface search radar,,
,38E,Tacan,,
,39E,TV Tracker,,
,40E,UHF communications,,
,41E,UHF communications,,
,42E,UHF homer,,
,43E,VHF communications,,
,44E,"Class ""An (± 2 degrees",,
,50E,"Class ""8"" (± 5 degrees)",,
,51E,"Class ""CO(± 10 degrees)",,
,52E,"Class ""D"" (equipment not calibrated this frequency; error not less than ± 10 deg)",,
,53E,"Class ""E"" (flat bearing no dist min)",,
,54E,"Class UP"" (poor condition)",,
,55E,"Class ""Q"" (quick(snap) bearing)",,
,56E,"Class ""R"" (wandering signal)",,
,57E,"Class ""Z"" (scenes not determined)",,
,61E,Barrage jamming,,
,62E,Decoy,,
,63E,Deception jamming,,
,64E,Jamming,,
,65E,Noise jamming,,
,66E,Repeater jamming,,
,67E,Swept,,
,68E,Decoy/chaff,,
,71E,Airborne decoy,,
,72E,AM,,
,73E,CW,,
,74E,Data,,
,75E,Facsimile,,
,76E,FM,,
,77E,Frequency division multiplex,,
,78E,FSK RATT,,
,79E,High Power,,
,80E,ISB,,
,81E,Low power,,
,82E,MCW,,
,83E,Medium power,,
,84E,Pulse,,
,85E,RATT,,
,86E,Secure RATT communication,,
,87E,Secure voice communication,,
,88E,SSB lower sideband,,
,89E,SSB upper sideband,,
,90E,Surface decoy,,
,9E,RAIT emission A2,,
,92E,TV,,
,93E,Voice,,
,97E,Close,,
,98E,Far,,
,99E,Medium,,
,100E,Very close,,
,103E,Circular,,
,104E,Horizontal,,
,105E,Random,,
,106E,Vertical,,
,109E,The frequency band whose lower and upper limits in Khz are ...... and .......,,
,110E,The frequency band whose lower and upper limits in Khz are ...... and .......,,
,111E,VLF (3 - 30 Khz,,
,112E,LF (30 - 300 Khz),,
,113E,MF(300 Khz - 3 Mhz,,
,114E,HF (3 - 30 Mhz),,
,115E,VHF(30 - 300 Mhz),,
,116E,UHF(300 - 3000 Mhz),,
,117E,"SHF (3000 - 30,000 Mhz)",,
,118E,"EHF (30,000 - 300,000 Mhz)",,
,119E,"Above 300,000 Mhz",,
,120E,Metric radar (below 160 Mhz),,
,121E,P band (160 - 400 Mhz),,
,122E,L2 band (400 - 900 Mhz),,
,123E,L1 band (900 - 1500 Mhz),,
,124E,L band (400 -1500 Mhz),,
,125E,S band (1500';_ 4000 Mhz),,
,126E,C band (4000 -7000 Mhz),,
,127E,"X band (7000 - 12,000 Mhz",,
,128E,The frequency band whose lower and upper limits in Khz are ...... and .......,,
,129E,The frequency band whose lower and upper limits in Mhz are ...... and ........,,
,130E,VLF (3 - 30 Khz),,
,131E,LF (30 - 300 Khz),,
,132E,MF(300 Khz - 3 Mhz),,
,133E,HF (3 - 30 Mhz),,
,134E,VHF(30 - 300 Mhz),,
,135E,UHF(300 - 3000 Mhz),,
,136E,"SHF (3000 - 30,000 Mhz)",,
,137E,"EHF (30,000 - 300,000 Mhz)",,
,138E,"Above 300,000 Mhz",,
,139E,Metric radar (below 160 Mhz),,
,140E,P band (160 - 400 Mhz),,
,141E,L2 band (400 - 900 Mhz),,
,142E,L1 band (900 - 1500 Mhz),,
,143E,L band (400 -1500 Mhz),,
,144E,S band (1500 - 4000 Mhz),,
,145E,C band (4000 - 7000 Mhz),,
,146E,"X band (7000 -12,000 Mhz)",,
,147E,"J band (12,000 -18,000 Mhz)",,
,148E,"K band (18,000 - 36,000 Mhz)",,
,149E,"Q band (36,000 - 46,000 Mhz)",,
,150E,"V band (46,000 - 56,000 Mhz)",,
,151E,"O band (56,000 - 96,000 Mhz)",,
,152E,A band (0 - 250 Mhz),,
,153E,B band (250 - 500 Mhz),,
,154E,C band (500 - 1000 Mhz),,
,155E,D band (1000 - 2000 Mhz),,
,156E,E band (2000 - 3000 Mhz),,
,157E,F band (3000 - 4000 Mhz),,
,158E,G band (4000 - 6000 Mhz),,
,159E,H band (6000 - 8000 Mhz),,
,160E,"J band (8000 - 10,000 Mhz)",,
,161E,"J band (10,000 - 20,000 Mhz)",,
,162E,"K band (20,000 - 40,000 Mhz",,
,163E,"L band (40,000 - 60,000 Mhz)",,
,164E,"M band (60,000 -100,000 Mhz)",,
,165E,Frequency of ............... Khz,,
,166E,Frequency of.. .............. Mhz,,
,167E,Frequency of.. .............. Ghz,,
,168E,3 -15 Khz,,
,169E,15 - 30 Khz,,
,170E,30-50 Khz,,
,171E,100 - 300 Khz,,
,172E,300 Khz - 3 Mhz,,
,173E,3-15 Mhz,,
,174E,15-30 Mhz,,
,175E,30 -50 Mhz,,
,175E,30 -50 Mhz,,
,176E,50-75 Mhz,,
,177E,75-100 Mhz,,
,178E,90-140 Mhz,,
,179E,140 -180 Mhz,,
,180E,160-240 Mhz,,
,181E,240-320 Mhz,,
,182E,240-320 Mhz,,
,183E,300-450 Mhz,,
,184E,450-600 Mhz,,
,185E,550-700 Mhz,,
,186E,700 - 11000 Mhz,,
,187E,1000 -1800 Mhz,,
,188E,1800 - 2600 Mhz,,
,189E,2600 - 3000 Mhz,,
,190E,3-4.45 Ghz,,
,191E,4.3 -4.8 Ghz,,
,192E,4.8 -7.35 Ghz,,
,193E,7.05 - 8.55 Ghz,,
,194E,8.55 - 10.95 Ghz,,
,195E,10 -11.5 Ghz,,
,196E,11.5-18Ghz,,
,197E,18 -24 Ghz,,
,198E,24 - 33 Ghz,,
,199E,33 - 40 Ghz,,
,200E,40 - 60 Ghz,,
,201E,60 - 90 Ghz,,
,202E,Infra - red,,
,1F,"(See ASW Action Table, Section 1000)",,
,2F,"(See Surface Action Table, Section 3100)",,
,3F,Anti air warfare force,,
,4F,Anti search attack unit (ASAU),,
,5F,Aircraft,,
,6F,Aircraft carriere(s),,
,7F,"(See AAW Action Table, Section 2500)",,
,8F,Amphibious force,,
,9F,"(See Torpedo Action Table, Section 3105)",,
,10F,Amphibious vehicle(s),,
,11F,Attack group (unit),,
,12F,Auxiliaries,,
,13F,Barrier patrol,,
,14F,Bogey,,
,15F,Bombardment group(s},,
,16F,Carrier task group(s},,
,17F,Center force in the center,,
,18F,Center (of own disposition),,
,19F,Center (of enemy's disposition),,
,20F,Close covering group,,
,21F,Communication linking ship (unit),,
,22F,Consort for submarine(s),,
,23F,Control vessel,,
,24F,Convoy,,
,25F,Convoy escort,,
,26F,Cruiser(s),,
,27F,"Cruiser(s), heavy",,
,28F,"Cruiser(s), light",,
,29F,"Cruiser(s), AA",,
,30F,Demonstration group,,
,31F,Destroyer{s},,
,32F,Destroyer escort(s),,
,33F,Detached force (group),,
,34F,Disposition,,
,35F,Escort{s),,
,36F,Explosive Ordnance Disposal (EOD) teams,,
,37F,Farthest column,,
,38F,FPBs,,
,39F,Firing group,,
,40F,Forces ahead/advance force,,
,41F,Forces engaging light forces (or interfering with attack),,
,42F,Forces making or about to make torpedo attack,,
,43F,Forces repelling or about to repel torpedo attack,,
,44F,Formation,,
,15F,Frigate(s),,
,45F,"Fueling (replenishing) group Screen, bent line",,
,47F,Goblin,,
,48F,"Guide, disposition",,
,49F,"Guide, formation",,
,50F,"Guide, unit",,
,51F,Guided missile shipts),,
,52F,Hunter/killer group,,
,53F,Inshore patrol,,
,54F,Investigating ship,,
,55F,Landing craft,,
,56F,Landing ship of enemy column,,
,57F,Light group(s),,
,58F,Main body,,
,59F,Man~of~war,,
,60F,Merchant ship,,
,61F,Mine craft,,
,62F,Mine laying group,,
,63F,Mine layer,,
,64F,Mine sweeper,,
,65F,Mine sweeping group,,
,66F,Missile firing FPBs,,
,67F,Mobile Inshore Undersea Warfare Surveillance Unit (MIUWSU),,
,68F,Naval beach group,,
,69F,Nearest column,,
,70F,Offshore patrol,,
,71F,Oiler(s),,
,72F,Patrol vessel(s),,
,73F,Picket(s),,
,74F,Picket line,,
,75F,"Picket, tomcat",,
,76F,"Picket, watchdog",,
,77F,"Picket, radar",,
,78F,Pouncer(s},,
,79F,Protective group,,
