id,Grouper,Tack,Meaning,created_at,updated_at
,FLAG 2A,2,Rocket,,
,FLAG 2A,3,Searchlight,,
,FLAG 2A,4,Flares,,
,FLAG 2A,5,In accordance with fire plan (or plan __ ),,
,FLAG 2B,1,Star shell,,
,FLAG 2B,2,Rocket,,
,FLAG 2B,3,Searchlight,,
,FLAG 2B,4,Flares,,
,FLAG 2B,5,In accordance with fire plan (or plan__ ).,,
,FLAG 2C,1,AA gun,,
,FLAG 2C,2,Available gun,,
,FLAG 2C,3,Machine guns,,
,FLAG 2C,4,Main gun,,
,FLAG 2C,5,Rockets,,
,FLAG 2C,6,Secondary gun,,
,FLAG 2C,7,surface-to-air guided missiles,,
,FLAG 2C,8,Surface-to-surfaceguided missiles,,
,FLAG 2E,1,Missile,,
,FLAG 2E,2,Main guns,,
,FLAG 2E,3,Secondary guns,,
,FLAG 2I,1,At targets of opportunity,,
,FLAG 2I,2,At nearest enemy,,
,FLAG 2I,3,At FPB targets,,
,FLAG 2J,1,To target bearing Free_Text_Tack_1 from this ship (or unit indicated),,
,FLAG 2J,2,To right of target being engaged,,
,FLAG 2J,3,To left of target being engaged,,
,FLAG 2K,1,Missiles,,
,FLAG 2K,2,Guns,,
,FLAG 2K,3,Torpedoes,,
,FLAG 2L,1,Into grid position.,,
,FLAG 2L,2,In accordance with plan previously ordered,,
,FLAG 2N,1,Decoy/chaff for distraction,,
,FLAG 2N,2,Decoy/chaff for confusion,,
,FLAG 2N,3,Decoy/chaff for seduction,,
,FLAG 2O,1,As soon as possible,,
,FLAG 2O,2,When guns bear,,
,FLAG 2O,3,When ready,,
,FLAG 2O,4,At maximum gun range,,
,FLAG 2O,5,When range closes to Free_Text_Tack_1 thousand yards,,
,FLAG 2O,6,When target is visible,,
,FLAG 2O,7,If target is identified as hostile,,
,FLAG 2O,8,If target commits a hostile act,,
,FLAG 2P,1,Centre of enemy formation,,
,FLAG 2P,2,leading ship of enemy formation,,
,FLAG 2P,3,Left of enemy formation,,
,FLAG 2P,4,Right of enemy formation,,
,FLAG 2P,5,Ship number __ in enemy line counting from left to right,,
,FLAG 2P,6,Ship number __ in enemy line counting from right to left,,
,FLAG 2P,7,Nearest enemy,,
,FLAG 2Q,1,I have ceased firing.,,
,FLAG 2Q,2,Target indicated or (bearing __ ) (range __ thousands of yards) from this unit or indicated has ceased firing.,,
,FLAG 2S,1,Gun,,
,FLAG 2S,2,Missile,,
,FLAG 2U,1,Impac,,
,FLAG 2U,2,Proximity,,
,FLAG 2U,3,Mixed impact and airburst,,
,FLAG 2V,1,Negligible,,
,FLAG 2V,2,To prevent ranging,,
,FLAG 2V,3,To prevent auto follow,,
,FLAG 2X,1,Over (Free_Text_Tack_1 hundreds of yards),,
,FLAG 2X,2,Short (Free_Text_Tack_2 hundreds of yards),,
,FLAG 2X,3,Right ( Free_Text_Tack_3 tens of yards),,
,FLAG 2X,4,Left ( Free_Text_Tack_4 tens of yards),,
,FLAG 2X,5,Far over,,
,FLAG 2X,6,Far short,,
,FLAG 2X,7,Far right,,
,FLAG 2X,8,Far left,,
,FLAG 2X,9,Unobserved,,
,FLAG 2X,10,Straddle,,
,FLAG 2Y,1,Illuminate suspected target,,
,FLAG 2Y,2,Locate suspected target,,
,TP1,1,Avoid action,,
,TP1,2,Commence action,,
,TP1,3,Chase enemy (type of force may be indicated from Table F),,
,TP1,4,Withhold surface fire until identify is established.,,
,TP3,1,Attack from direction __ is being carried out by unit indicated,,
,TP3,2,Break off the attack,,
,TP3,3,Delay attack (until ____),,
,TP3,4,Carry out feint attack on enemy from bearing _(bearing is to be taken from centre of enemy,,
,TP3,5,Close and attack,,
,TP3,6,Completed,,
,TP4,1,As rapidly as possible,,
,TP4,2,Consistent with keeping all guns bearing,,
,TP4,3,End on,,
,TP4,4,To effective gun range,,
,TP4,5,To effective range of secondary guns,,
,TP4,6,To effective torpedo rang,,
,TP4,7,To maximum effective gun range,,
,TP4,8,To maximum torpedo range,,
,TP4,9,To Free_Text_Tack_1 thousand of yards,,
,TP4,10,To effective PONY/MUSTANG weapon range,,
,TP6,1,In position Free_Text_Tack_1,,
,TP6,2,On enemy bearing Free_Text_Tack_1,,
,TP6,3,On enemy as indicated Table_Group (from Table F),,
,TP6,4,On unit indicated,,
,TP6,5,At Free_Text_Tack_1 time,,
,TP7,1,As rapidly as possible,,
,TP7,2,Beyond effective range of enemy,,
,TP7,3,Beyond effective range of enemy secondary guns,,
,TP7,4,Beyond maximum range,,
,TP7,5,Consistent with keeping all guns bearing,,
,TP7,6,To maximum range,,
,TP7,7,To maximum effective range,,
,TP7,8,To maximum torpedo range,,
,TP7,9,To range Free_Text_Tack_1 thousands of yards,,
,TP15,1,Confidence Level 1,,
,TP15,2,Confidence Level 2,,
,TP15,3,Confidence Level 3,,
,TP15,4,Confidence Level 4,,
,TP17,1,Plan BROWN 1,,
,TP17,2,Plan BROWN 2,,
,TP17,3,Plan BROWN 3,,
,TP17,4,Plan BROWN 4 (Data link),,
,TP18,1,Target re-assessed non-HAMMOCK target,,
,TP18,2,Target is within the missile firer's radar coverage,,
,TP19,1,"Surface, using all force",,
,TP19,2,"Surface, detaching SAG",,
,TP19,3,Pursuit,,
,TP19,4,Retiring,,
,TP19,5,Withdrawing,,
,TP19,6,Delaying,,
,TP23,1,Between the enemy and his base,,
,TP23,2,Between the enemy and our bas,,
,TP23,3,Between the enemy and our convoy,,
,TP23,4,To leeward of enemy,,
,TP23,5,To windward of enemy,,
,FLAG 9A,1,According to base torpedo course plan,,
,FLAG 9A,2,According to individual target plari,,
,FLAG 9A,3,According to mutual target plan,,
,FLAG 9A,4,As soon as enemy is sighted,,
,FLAG 9A,5,At range of Free_Text_Tack_1 hundreds of yard,,
,FLAG 9A,6,For exercise,,
,FLAG 9A,7,From as close as possible,,
,FLAG 9A,8,Outside visibility range; firing by radar,,
,FLAG 9A,9,According to coordinated attack plan,,
,FLAG 9H,1,Formation attack in close formation,,
,FLAG 9H,2,Formation attack in open formation,,
,FLAG 9H,3,Independent,,
,FLAG 9H,4,Sector,,
,FLAG 9H,5,Spread,,
,FLAG 9N,1,Bow,,
,FLAG 9N,2,Beam,,
,FLAG 9N,3,Quarter,,
,FLAG 9P,1,High,,
,FLAG 9P,2,Intermediate,,
,FLAG 9P,3,Low,,
,TP27,1,The northward of the enemy,,
,TP27,2,The southward of the enemy T,,
,TP27,3,The eastward of the enemy,,
,TP27,4,The westward of the enemy,,
,TP30,1,Attack with torpedoes,,
,TP30,2,Do not attack untill ordered,,
,TP35,1,Are in sight bearing _ .,,
,TP35,2,Are to be recovered,,
,TP35,3,Have sunk,,
,TP35,4,Chase and recover,,
,TK2,1,According to plan (DESIG__),,
,TK2,2,ASW weapons from Table A (TACK___ ).,,
,TK2,3,Coordination attack with this unit or unit indicated,,
,TK2,4,Deliberate,,
,TK2,5,Enemy (or type indicated) now bearing__ from this unit or unit indicated.,,
,TK2,6,In accordance with previous instructions,,
,TK2,7,Independently,,
,TK2,8,Main gun armament,,
,TK2,9,Repeated attacks,,
,TK2,10,Simultaneous,,
,TK2,11,Missiles,,
,TK2,12,Torpedoes,,
,TK2,13,Under smoke screen,,
,TK2,14,Urgent,,
,TK2,15,Weapon-carrying helicopter.,,
,TK3,1,Biological weapons,,
,TK3,2,Bombs,,
,TK3,3,Chemical,,
,TK3,4,Guided missiles,,
,TK3,5,Naval gunfire,,
,TK3,6,Nuclear weapons,,
,TK3,7,Rockets,,
,TK3,8,Shore batteries,,
,TK3,9,Torpedoes,,
,TK11,1,Relative bearings and distances are to be preserved,,
,TK11,2,Relative bearings and distance are to be resumed,,
,TK11,3,True bearings and distances are to be preserved,,
,TK11,4,True bearings and distances are to be resumed,,
,TK12,1,Distance of Free_Text_Tack_1 hundreds of yards,,
,TK12,2,Distance of Free_Text_Tack_1 miles,,
,TK12,3,Double standard distance,,
,TK12,4,Standard distance,,
,TK12,5,Proper distance,,
,TK12,6,One - half standard distance,,
,TK14,1,Circle spacing,,
,TK14,2,Distance between guides of units,,
,TK14,3,Distance between units,,
,TK14,4,Extended manoeuvring interval,,
,TK14,5,Interval,,
,TK14,6,Manoeuvring interval,,
,TK14,7,Reduced tactical diameter,,
,TK14,8,Standard distance,,
,TK14,9,Standard tactical diameter,,
,TK15,1,Extended manoeuvring interval,,
,TK15,2,Interval of Free_Text_Tack_1 hundreds of yards,,
,TK15,3,Interval of Free_Text_Tack_1 hundreds of yards between service and waiting lines,,
,TK15,4,Interval of Free_Text_Tack_1 hundreds of yards between service line,,
,TK15,5,Interval of Free_Text_Tack_1 thousands of yards,,
,TK15,6,Manoeuvring interval,,
,TK15,7,Proper interval,,
,TK22,1,Aircraft,,
,TK22,2,Missiles,,
,TK22,3,Guided missile,,
,TK22,4,Submarine,,
,TK22,5,Surface vessels,,
,TK22,6,Torpedo,,
,TK23,1,Radar,,
,TK23,2,Sonar,,
,TK23,3,Visual,,
,TK23,4,ESM,,
,TK26,1,Joining up (from direction indicated) (at time____.),,
,TK26,2,May be encountered (at about __) (in position_.),,
,TK26,3,Operating in vicinity (or position____),,
,TK26,4,Sighted,,
,TK30,1,AA Fire,,
,TK30,2,Buoy,,
,TK30,3,Coloured water,,
,TK30,4,Flashes of guns,,
,TK30,5,Flare,,
,TK30,6,Floating object,,
,TK30,7,Glare of searchlight,,
,TK30,8,Iceberg,,
,TK30,9,Land,,
,TK30,10,Lights,,
,TK30,11,Lighthouse,,
,TK30,12,Lightship,,
,TK30,13,Oil patch,,
,TK30,14,Reefs,,
,TK30,15,Rocket,,
,TK30,16,Rocks,,
,TK30,17,Ships without light,,
,TK30,18,Shoals,,
,TK30,19,Small boat,,
,TK30,20,Smoke,,
,TK30,21,Smoke bomb,,
,TK30,22,Star shell,,
,TK30,23,Star (very's),,
,TK30,24,"Submarine, unidentified",,
,TK30,25,Wreckage,,
,TK30,26,Fishing stakes,,
,TK32,1,Enemy,,
,TK32,2,Friendly,,
,TK32,3,Neutral,,
,TK32,4,Unidentified,,
,TK37,1,Aft,,
,TK37,2,Aloft,,
,TK37,3,Amidships,,
,TK37,4,Forward,,
,TK37,5,Superstructure,,
,TK38,1,Grimes,,
,TK38,2,Search,,
,TK38,3,Submarine identification,,
,TK38,4,Task,,
,TK38,5,Fighting,,
,TK38,6,Disguised/deception,,
,TK43,1,Manoeuvre as necessary to blow soot,,
,TK44,1,Action,,
,TK44,2,Answer to signal,,
,TK44,3,Manoeuvre,,
,TK44,4,Operation,,
,TK46,1,Given up for lost,,
,TK46,2,Picked up,,
,TK47,1,Disabled ship,,
,TK47,2,Downed/ditched aircraf,,
,TK47,3,Man overboard,,
,TK47,4,Raft,,
,TK47,5,Small boat,,
,TK47,6,Submarine,,
,TK47,7,Survivors,,
,TK47,8,Torpedo,,
,TK47,9,Wreckage,,
,TK56,1,Strange,,
,TK56,2,Incoming,,
,TK61,1,Round up stragglers,,
,TK62,1,Buoy,,
,TK62,2,Flare,,
,TK62,3,Floating object,,
,TK62,4,Goblin (preceded by DESIG,,
,TK62,5,Iceberg,,
,TK62,6,Land,,
,TK62,7,Lights,,
,TK62,8,Lightship,,
,TK62,9,Oil patch,,
,TK62,10,Periscope (snort),,
,TK62,11,Racket (preceded by TACK),,
,TK62,12,Radar contact,,
,TK62,13,Reefs,,
,TK62,14,Rocks,,
,TK62,15,Ships without light,,
,TK62,16,Shoals,,
,TK62,17,Skunk (preceded by DESIG),,
,TK62,18,Small boat,,
,TK62,19,Smoke,,
,TK62,20,Sonar contact,,
,TK62,21,Star (Jery's),,
,TK62,22,Suspicious ship,,
,TK62,23,Wreckage,,
,TK64,1,Air attack,,
,TK64,2,Guided Missile,,
,TK64,3,Surface forces,,
,TK64,4,Submarine,,
,TK64,5,FAC (G),,
,TK64,6,FAC (T),,
,TK64,7,FAC (M),,
,TK66,1,From station(s)____,,
,TK66,2,From sector(s) __ indicated by letter(s) following DESIG,,
,TK66,3,Whose call sign(s) is!are __ (whose call sign(s) follow __),,
,TK69,1,Destroyers having expended torpedoes concentrate on this unit or unit indicated.,,
,TK69,2,Destroyers having torpedoes concentrate on this unit or unit indicated.,,
,TK69,3,In position __ .,,
,TK69,4,On enemy as indicated. (a) Bearing from enemy (b) Distance in thousands of yards from the enemy (c) Enemy as indicated from Table F,,
,TK69,5,On unit indicated,,
,TK72,1,Beam,,
,TK72,2,Head,,
,TK72,3,Port bow,,
,TK72,4,Starboard bow,,
,TK72,5,Stern,,
,TK73,1,Radar,,
,TK73,2,Ultra high frequency,,
,TK73,3,Underwater telephone,,
,TK73,4,Very high frequency,,
,TK73,5,Visual signalling,,
,TK73,6,Free_Text_Tack_1 miles,,
,TK73,7,Data Link,,
,TK76,1,Enemy inflicted damage,,
,TK76,2,To attack enemy,,
,TK77,1,In formation,,
,TK77,2,In formation when orders have been carried out.,,
,TK78,1,With this unit or unit indicated,,
,TK78,2,Wait for further orders,,
,TK86,1,This unit or unit indicated (station may be indicated,,
,TK86,2,As leading ship of this unit or unit indicated and conform to movements of this unit,,
,TK86,3,As rear ship of this unit or unit indicated and conform to movements of this unit,,
,TK86,4,"Formation or formation indicated when practicable, falling in astern or taking any station open",,
,TK86,5,When conditions exist as indicated,,
,TK86,6,When present orders have been carried out,,
,TK86,7,Your own senior officer,,
,TK88,1,And report for duty to (designated commander),,
,TK88,2,As necessary to pass through formation or to reach position indicated (at____),,
,TK88,3,As previously directed,,
,TK88,4,In accordance with operation order or serial number indicated.,,
,TK88,5,In company (with ____),,
,TK88,6,Independently,,
,TK88,7,independently into port and take berth assigned,,
,TK88,8,Independently to assigned station,,
,TK88,9,On duty assigned,,
,TK88,10,Out of port,,
,TK88,11,To Free_Text_Tack_1,,
,TK88,12,To anchorage,,
,TK88,13,To attack,,
,TK88,14,To contact area,,
,TK88,15,To FPB laying - up position,,
,TK88,16,To FPB waiting position,,
,TK88,17,To foul weather anchorage,,
,TK88,18,To port,,
,TK88,19,To position (_____),,
,TK88,20,To pick-up/recover target,,
,TK88,21,To recover man overboard (from_),,
,TK88,22,To regular station,,
,TK88,23,To rendezvous,,
,TK88,24,To side of screen indicated by PORT or STBD,,
,TK88,25,With dispatch,,
,TK88,26,Without regard to formation,,
,TK92,1,To pass clear of ship(ing) (s) or (unit indicated) and resuming station when clear,,
,TK92,2,To repair damage or defects,,
,TK92,3,To conduct helicopter operations,,
,TK92,4,To take bathythermograph readings,,
,TK92,5,For meteorological tasks,,
,TK93,1,Aircraft,,
,TK93,2,Missile,,
,TK93,3,Submarine,,
,TK93,4,Surface vessel,,
,TK93,5,Torpedo,,
,TK95,1,Leaving places vacant for ships temporarily out of the formation,,
,TK95,2,Without regard for ships out of formation.,,
,TK97,1,Ahead,,
,TK97,2,Astern,,
,TK97,3,To port,,
,TK97,4,To starboard,,
,TK98,1,"Column leader or unit indicated in conforming to channel, by adjusting course and speed as necessary to pass over the same ground.",,
,TK98,2,OTC,,
,TK98,3,OTC in altering course and speed,,
,TK98,4,This unit or unit indicated,,
,TK100,1,Ahead,,
,TK100,2,Astern,,
,TK100,3,Between (this unit or unit indicated) and (contact indicated),,
,TK100,4,Clear during manoeuvres,,
,TK100,5,In wake of this unit or unit indicated,,
,TK100,6,Just clear of the wake of next ahead,,
,TK100,7,Out of the way,,
,TK100,8,To port of this unit or unit indicated,,
,TK100,9,To starboard of this unit or unit indicated,,
,TK103,1,Ahead of this unit or unit indicated,,
,TK103,2,Astern of this unit or unit indicated,,
,TK103,3,Between lines,,
,TK103,4,Ships unable to keep station,,
,TK103,5,Through formation,,
,TK103,6,Through lines,,
,TK103,7,To port of this unit or unit indicated,,
,TK103,8,To starboard of this unit or unit indicated,,
,TK104,1,__ degrees of rudder for standard tactical rudder until further orders,,
,TK104,2,Emergency,,
,TK104,3,Full (5 degree less than maximum),,
,TK104,4,Less,,
,TK104,5,Maximum (hard rudder or hard over),,
,TK104,6,More,,
,TK104,7,Proper,,
,TK104,8,Rudder as necessary to give a tactical diameter of __ hundreds of yards.,,
,TK105,1,"Odd-numbered ships to starboard, even-numbered ships to port",,
,TK105,2,"Odd-numbered ships to port, even-numbered ships to starboard",,
,TK105,3,To starboard,,
,TK105,4,To port,,
,TK109,1,At present speed,,
,TK109,2,In assigned area or in area indicated,,
,TK109,3,In present formation,,
,TK109,4,"In present formation, on present course and at present speed",,
,TK109,5,In present disposition,,
,TK109,6,On present base course,,
,TK110,1,Cease operations,,
,TK110,2,Delay operations until further orders (or until__),,
,TK110,3,Expedite operations,,
,TK110,4,Operations completed,,
,TK111,1,Damage,,
,TK111,2,Decontamination in progress,,
,TK111,3,Lack of services,,
,TK111,4,Prior commitments,,
,TK111,5,Weather,,
,TK115,1,Identify,,
,TK116,1,Believed enemy,,
,TK116,2,FALSE,,
,TK116,3,Friendly,,
,TK116,4,Land,,
,TK116,5,Lost,,
,TK116,6,"Unimportant objects (rain squall, birds etc)",,
,TK116,7,Without confirmation,,
,TK117,1,Enemy,,
,TK117,2,Friendly,,
,TK117,3,Neutral,,
,TK117,4,Suspicious,,
,TK117,5,Unknown,,
,TK118,1,ESM,,
,TK118,2,IFF,,
,TK118,3,Nancy,,
,TK118,4,Radar,,
,TK118,5,Sonar,,
,TK118,6,Visual,,
,TK123,1,Circle of radius Free_Text_Tack_1 miles with centre in present position (or at position __),,
,TK123,2,"Quadrilateral drawn between following four positions Free_Text_Tack_1 , Free_Text_Tack_2 ,Free_Text_Tack_3, Free_Text_Tack_4",,
,TK123,3,Sector included between and with radius of miles from present position (or position___),,
,TK123,4,Sector between Free_Text_Tack_1 and Free_Text_Tack_2 between Free_Text_Tack_3 miles and Free_Text_Tack_4 miles from position Free_Text_Tack_5,,
,TK123,5,Rectangle of width Free_Text_Tack_1 miles and depth Free_Text_Tack_2 miles centred on position Free_Text_Tack_3,,
,TK124,1,Expanding square,,
,TK124,2,Intercepting,,
,TK124,3,Rectangular,,
,TK124,4,Sector,,
,TK126,1,ASW barrier patrol,,
,TK126,2,Barrier line (limits may indicated by position signal followin,,
,TK126,3,Circular patrol around DATUM clear of ships engaged in the ASW actio,,
,TK126,4,Cross-over patrol (short leg is __ miles). Perpendicular between short legs is Free_Text_Tack_1 miles,,
,TK126,5,Double line cross-over patro,,
,TK126,6,Endless chain ASW patro,,
,TK126,7,Fixed station patrol,,
,TK130,1,Anchorage,,
,TK130,2,Boom (nets or gates),,
,TK130,3,Channel,,
,TK130,4,Harbour entrance,,
,TK133,1,Continue search or patrol (until __),,
,TK133,2,Rejoin your patrol,,
,TK133,3,Resume patrol,,
,TK133,4,Return to your station,,
,TK139,1,As previously directe,,
,TK139,2,"As previously directed On line of bearing 
(a) Line of bearing to which ships are to spread 
(b) Order of ships spreading from left to right if other than the present sequence 
(c) Scouting axis 
(d) Distance apart of ships when spread 
(e) Guide while spreading, if other than Senior Officer 
(f) Course and speed of the unit guide while spreading 
(g) Time by which the spread is to be completed",,
,TK148,1,All types available except projectile,,
,TK148,2,As little as possible,,
,TK148,3,Chemical,,
,TK148,4,For approximately Free_Text_Tack_1 minutes,,
,TK148,5,Funnel,,
,TK148,6,Less smoke,,
,TK148,7,More smoke,,
,TK148,8,Oil fog,,
,TK148,9,WIth smoke floats or pots,,
,TK149,1,Being investigated,,
,TK149,2,From a few vessels,,
,TK149,3,From enemy,,
,TK149,4,From enemy indicated,,
,TK149,5,From friendly forces indicated,,
,TK149,6,From friendly ships,,
,TK149,7,From one vesse,,
,TK149,8,From own ships,,
,TK149,9,No longer visibl,,
,TK154,1,Air operations,,
,TK154,2,Boat work,,
,TK154,3,Chemical warfare attack,,
,TK154,4,Dan laying,,
,TK154,5,Diving,,
,TK154,6,Entering port,,
,TK154,7,Fuelling,,
,TK154,8,Helicopter operations,,
,TK154,9,Highline transfer,,
,TK154,10,Influence minesweeping,,
,TK154,11,Manoeuvring,,
,TK154,12,Mechanical minesweeping,,
,TK154,13,Mine hunting,,
,TK154,14,Mine laying,,
,TK154,15,Mine recovery,,
,TK154,16,Precision gunfire exercise,,
,TK154,17,Pressure mine countermeasure,,
,TK154,18,Recovery of torpedoe,,
,TK154,19,Replenishment,,
,TK154,20,Sonar operation,,
,TK154,21,Towing,,
,TK154,22,Transfer by small boat,,
,TK154,23,SAR,,
